"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2574.199999988079","external-consent.html","external-html","0","2677","0.0-0.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8929.299999982119","","survey-dropdown","1","11609","0.0-1.0","stimuli/1.csv","false","xh0ggjyvzq","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","16731","0.0-2.0","stimuli/1.csv","false","xh0ggjyvzq","","","409","1.211851851851852","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6626","","instructions","3","23358","0.0-3.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","[{""page_index"":0,""viewing_time"":6625.299999982119}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"389.09999999403954","","same-different-html","4","26003","0.0-4.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","563.5","","","","","","","","","","","","","",""
"566.7000000178814","","same-different-html","5","28900","0.0-5.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","netroc","metroc","j","f","different","1000","2000","500","null","null","true","70","549","pr","troc","ne","","netroc","control","p","0.0","0","n","m","metroc","1","6"
"845.9000000059605","","same-different-html","6","33623","0.0-6.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","trevaus","trevaus","j","f","same","1000","2000","500","null","null","true","74","551.3000000119209","r_long","trevaus","","","trevaus","control","r","","2","e","i","trivaus","0","7"
"746","","same-different-html","7","37060","0.0-7.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","mocmanemt","nocmanemt","j","f","different","1000","2000","500","null","null","false","74","910.9000000059605","rss","moc","","ma_nemt","mocmanemt","control","r","","0","m","n","nocmanemt","1","9"
"936.6999999880791","","same-different-html","8","42078","0.0-8.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","déjurationalisme","déjurationalisme","j","f","same","1000","2000","500","null","null","true","74","2138.9000000059605","prssss","jur","dé","at_ion_al_isme","déjurationalisme","target","s","3.0","0","i","u","déjurationalusme","0","16"
"694.5","","same-different-html","9","45388","0.0-9.0","stimuli/1.csv","false","xh0ggjyvzq","","","","","","same-different-html","recrusissant","recrusissant","j","f","same","1000","2000","500","null","null","true","74","772.1999999880791","prss","crus","re","iss_ant","recrusissant","target","s","1.0","0","a","o","recrusissont","0","12"
