first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
rhododendron,rhidodendron,r,,rhododendron,,rhododendron,control,r,,2,o,i,rhidodendron,1,12
hurricane,hurricane,r,,hurricane,,hurricane,control,r,,1,u,i,hirricane,0,9
origin,origim,r,,origin,,origin,control,r,,5,n,m,origim,1,6
activahion,activation,rsss,,act,iv_at_ion,activation,target,s,1.0,1,t,h,activahion,3,10
districs,districs,r,,district,,district,control,r,,7,t,s,districs,2,8
modally,rodally,rss,,mod,al_ly,modally,target,r,,0,m,r,rodally,1,7
icomic,iconic,rs,,icon,ic,iconic,target,r,,3,n,m,icomic,3,6
boomerang,hoomerang,r,,boomerang,,boomerang,control,r,,0,b,h,hoomerang,1,9
satanicawly,satanically,rsss,,satan,ic_al_ly,satanically,target,s,1.0,1,l,w,satanicawly,3,11
frivol,frivol,r,,frivol,,frivol,control,r,,4,o,a,frival,0,6
disbay,disbar,pr,dis,bar,,disbar,target,r,,2,r,y,disbay,3,6
awarchically,anarchically,prsss,an,arch,ic_al_ly,anarchically,target,p,0.0,1,n,w,awarchically,3,12
pitifully,pitifully,rss,,piti,ful_ly,pitifully,target,r,,3,i,e,pitefully,0,9
ehperience,experience,r,,experience,,experience,control,r,,1,x,h,ehperience,3,10
epercise,epercise,r,,exercise,,exercise,control,r,,1,x,p,epercise,2,8
reinforpe,reinforpe,ppr,re_in,force,,reinforce,target,r,,3,c,p,reinforpe,2,9
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,1,a,e,segittarius,0,11
repertuire,repertoire,r,,repertoire,,repertoire,control,r,,6,o,u,repertuire,3,10
oncylcopedia,oncylcopedia,r,,encylcopedia,,encylcopedia,control,r,,0,e,o,oncylcopedia,2,12
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,9,o,a,marshmallaw,0,11
abnormilly,abnormilly,prss,ab,norm,al_ly,abnormally,target,s,0.0,0,a,i,abnormilly,2,10
solidify,solidifw,rs,,solid,ify,solidify,target,s,0.0,2,y,w,solidifw,1,8
screen,screen,r,,screen,,screen,control,r,,1,c,h,shreen,0,6
understand,understend,r,,understand,,understand,control,r,,7,a,e,understend,1,10
tlandestine,clandestine,r,,clandestine,,clandestine,control,r,,0,c,t,tlandestine,3,11
unnatarally,unnatarally,prss,un,natur,al_ly,unnaturally,target,r,,3,u,a,unnatarally,2,11
hostiye,hostile,r,,hostile,,hostile,control,r,,5,l,y,hostiye,3,7
pewsuadness,persuadness,rs_long,,persuad,ness,persuadness,target,r,,2,r,w,pewsuadness,3,11
emport,emport,pr,im,port,,import,target,p,0.0,0,i,e,emport,2,6
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,9,n,r,frankincerse,0,12
irrelikasle,irrelikasle,pprs,ir_re,lik,able,irrelikable,target,s,0.0,1,b,s,irrelikasle,2,11
proglem,proglem,r,,problem,,problem,control,r,,3,b,g,proglem,2,7
unmanly,unmanly,prs,un,man,ly,unmanly,target,p,0.0,0,u,a,anmanly,0,7
accompmice,accomplice,r,,accomplice,,accomplice,control,r,,6,l,m,accompmice,3,10
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,0,c,d,daterpillar,0,11
citastrophe,citastrophe,r,,catastrophe,,catastrophe,control,r,,1,a,i,citastrophe,2,11
undorground,undorground,pr_long,under,ground,,underground,target,p,0.0,3,e,o,undorground,2,11
hallelujah,hallelujeh,r,,hallelujah,,hallelujah,control,r,,8,a,e,hallelujeh,1,10
unrelatabme,unrelatable,pprs,un_re,lat,able,unrelatable,target,s,0.0,2,l,m,unrelatabme,3,11
counsel,counsel,r,,counsel,,counsel,control,r,,2,u,i,coinsel,0,7
agoistically,agoistically,rssss,,ego,ist_ic_al_ly,egoistically,target,r,,0,e,a,agoistically,2,12
yemoval,removal,prs,re,mov,al,removal,target,p,0.0,0,r,y,yemoval,3,7
reimport,raimport,ppr,re_im,port,,reimport,target,p,0.0,1,e,a,raimport,1,8
sceptecism,scepticism,rs_long,,sceptic,ism,scepticism,target,r,,5,i,e,sceptecism,3,10
aftivational,aftivational,rssss,,act,iv_at_ion_al,activational,target,r,,1,c,f,aftivational,2,12
hippepotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,4,o,e,hippepotamus,3,12
deactisation,deactivation,prsss,de,act,iv_at_ion,deactivation,target,s,0.0,1,v,s,deactisation,3,12
reversable,reversable,prs_long,re,vers,able,reversable,target,p,0.0,1,e,o,roversable,0,10
distlosure,distlosure,prs_long,dis,clos,ure,disclosure,target,r,,0,c,t,distlosure,2,10
antifreete,antifreete,pr_long,anti,freeze,,antifreeze,target,r,,4,z,t,antifreete,2,10
rhinoceros,whinoceros,r,,rhinoceros,,rhinoceros,control,r,,0,r,w,whinoceros,1,10
abwacadabra,abwacadabra,r,,abracadabra,,abracadabra,control,r,,2,r,w,abwacadabra,2,11
