first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
méleur,méliur,rs,,s,mél,,eur,méleur,target,s,0.0,0,e,i,méliur,1
nekal,rekal,pr,p,,kal,ne,,nekal,control,p,0.0,0,n,r,rekal,1
kaltne,kaltne,rs,,s,kal,,tne,kaltne,control,r,,1,a,e,keltne,0
érpernitroc,érpelnitroc,pppr,ppp,,troc,érp_er_ni,,érpernitroc,control,p,1.0,1,r,l,érpelnitroc,1
rusnelém,rusnelém,ppr,pp,,lém,rus_ne,,rusnelém,control,r,,0,l,n,rusneném,0
érperléutnoileéti,érperléudnoileéti,pprsss,pp,sss,léut,érp_er,noi_le_éti,érperléutnoileéti,control,r,,3,t,d,érperléudnoileéti,1
melklaemsi,melkliemsi,rss,,ss,melk,,la_emsi,melklaemsi,control,s,0.0,1,a,i,melkliemsi,1
erédmelknoieria,erédmelknoieria,pprss,pp,ss,melk,er_éd,noi_eria,erédmelknoieria,control,p,1.0,0,é,e,eredmelknoieria,0
nirusridtne,nirusridtne,pprs,pp,s,rid,ni_rus,tne,nirusridtne,control,p,0.0,0,n,l,lirusridtne,0
reinsurtaisionel,reinsurtaisionel,ppprss,ppp,ss,tais,re_in_sur,ion_el,reinsurtaisionel,target,s,1.0,0,e,i,reinsurtaisionil,0
redétartionaire,resétartionaire,pprss,pp,ss,tart,re_dé,ion_aire,redétartionaire,target,p,1.0,0,d,s,resétartionaire,1
cortionaire,coltionaire,rss,,ss,cort,,ion_aire,cortionaire,target,r,,2,r,l,coltionaire,1
préreinbourionel,préreinbourionel,ppprss,ppp,ss,bour,pré_re_in,ion_el,préreinbourionel,target,p,1.0,1,e,u,préruinbourionel,0
érpernimelktne,érpernimelktre,ppprs,ppp,s,melk,érp_er_ni,tne,érpernimelktne,control,s,0.0,1,n,r,érpernimelktre,1
ernirussnaltnemeria,ernirussnartnemeria,ppprss,ppp,ss,snal,er_ni_rus,tnem_eria,ernirussnaltnemeria,control,r,,3,l,r,ernirussnartnemeria,1
erédtôlbnoieria,erédtôlbnoieria,pprss,pp,ss,tôlb,er_éd,noi_eria,erédtôlbnoieria,control,s,1.0,0,e,a,erédtôlbnoiaria,0
refoirment,refoirment,prs,p,s,foir,re,ment,refoirment,target,p,0.0,1,e,u,rufoirment,0
trec,trec,r,,,trec,,,trec,control,r,,3,c,t,tret,0
nuajelbatnem,nuajelbatnem,rss,,ss,nuaj,,elba_tnem,nuajelbatnem,control,s,1.0,1,n,l,nuajelbatlem,0
érpédmelktnemeria,érpédmelktnemeria,pprss,pp,ss,melk,érp_éd,tnem_eria,érpédmelktnemeria,control,s,0.0,0,t,s,érpédmelksnemeria,0
reklemanteliste,reklemanteliste,prsss,p,sss,klem,re,ant_el_iste,reklemanteliste,target,p,0.0,0,r,n,neklemanteliste,0
édléut,édléet,pr,p,,léut,éd,,édléut,control,r,,2,u,e,édléet,1
ernirusnorteria,ernirusnorteria,ppprs,ppp,s,nort,er_ni_rus,eria,ernirusnorteria,control,p,0.0,0,e,u,urnirusnorteria,0
reimelité,raimelité,rss,,ss,reim,,el_ité,reimelité,target,r,,1,e,a,raimelité,1
reinreimiveité,reinreimiveité,pprss,pp,ss,reim,re_in,ive_ité,reinreimiveité,target,s,0.0,1,v,d,reinreimideité,0
nemoc,remoc,pr,p,,moc,ne,,nemoc,control,p,0.0,0,n,r,remoc,1
erédtôlbxue,erédtôlbxue,pprs,pp,s,tôlb,er_éd,xue,erédtôlbxue,control,r,,2,l,m,erédtômbxue,0
reindéblôtité,reindéblôtuté,ppprs,ppp,s,blôt,re_in_dé,ité,reindéblôtité,target,s,0.0,0,i,u,reindéblôtuté,1
fabtnem,fabtnen,rs,,s,fab,,tnem,fabtnem,control,s,0.0,3,m,n,fabtnen,1
reinmièranteliste,reinmièranteliste,pprsss,pp,sss,mièr,re_in,ant_el_iste,reinmièranteliste,target,s,2.0,1,s,g,reinmièranteligte,0
mélmentaire,mélmentaire,rss,,ss,mél,,ment_aire,mélmentaire,target,r,,0,m,r,rélmentaire,0
reindémièrionelment,reimdémièrionelment,ppprsss,ppp,sss,mièr,re_in_dé,ion_el_ment,reindémièrionelment,target,p,1.0,1,n,m,reimdémièrionelment,1
surendir,surender,ppr,pp,,dir,sur_en,,surendir,target,r,,1,i,e,surender,1
redémaiteur,redémaiteer,pprs,pp,s,mait,re_dé,eur,redémaiteur,target,s,0.0,1,u,e,redémaiteer,1
boit,boit,r,,,boit,,,boit,target,r,,0,b,c,coit,0
reinsurcrusionelment,reinsurcrusionelment,ppprsss,ppp,sss,crus,re_in_sur,ion_el_ment,reinsurcrusionelment,target,r,,3,s,c,reinsurcrucionelment,0
ersnalelbatnem,ersnalelbatnem,prss,p,ss,snal,er,elba_tnem,ersnalelbatnem,control,s,0.0,1,l,m,ersnalembatnem,0
taisenteliste,taisentaliste,rsss,,sss,tais,,ent_el_iste,taisenteliste,target,s,1.0,0,e,a,taisentaliste,1
melknoi,malknoi,rs,,s,melk,,noi,melknoi,control,r,,1,e,a,malknoi,1
ernikalelbatnem,ernikalelbatnem,pprss,pp,ss,kal,er_ni,elba_tnem,ernikalelbatnem,control,p,1.0,1,i,a,ernakalelbatnem,0
mélenteliste,mélemteliste,rsss,,sss,mél,,ent_el_iste,mélenteliste,target,s,0.0,1,n,m,mélemteliste,1
cortionelment,cortionelment,rsss,,sss,cort,,ion_el_ment,cortionelment,target,r,,3,t,d,cordionelment,0
rebicablement,rebacablement,prss,p,ss,bic,re,able_ment,rebicablement,target,r,,1,i,a,rebacablement,1
érptreceviéti,érptreceviéti,prss,p,ss,trec,érp,evi_éti,érptreceviéti,control,s,1.0,2,i,o,érptreceviéto,0
remaitionelisme,remaotionelisme,prsss,p,sss,mait,re,ion_el_isme,remaitionelisme,target,r,,2,i,o,remaotionelisme,1
surcortmentaire,surcortmentaire,prss,p,ss,cort,sur,ment_aire,surcortmentaire,target,p,0.0,2,r,m,sumcortmentaire,0
snartlis,snartlis,pr,p,,lis,snart,,snartlis,control,r,,2,s,t,snartlit,0
ocfabtnaleetsi,ocfabtneleetsi,prsss,p,sss,fab,oc,tna_le_etsi,ocfabtnaleetsi,control,s,0.0,2,a,e,ocfabtneleetsi,1
ernivérpeuqi,ernivérheuqi,pprs,pp,s,vérp,er_ni,euqi,ernivérpeuqi,control,r,,3,p,h,ernivérheuqi,1
prédétaisionelité,predétaisionelité,pprsss,pp,sss,tais,pré_dé,ion_el_ité,prédétaisionelité,target,p,0.0,2,é,e,predétaisionelité,1
reindéprév,reindépriv,pppr,ppp,,prév,re_in_dé,,reindéprév,target,r,,2,é,i,reindépriv,1
niédnuaj,niédnuaj,ppr,pp,,nuaj,ni_éd,,niédnuaj,control,r,,3,j,l,niédnual,0
listneleetsi,listneleetsi,rsss,,sss,lis,,tne_le_etsi,listneleetsi,control,r,,0,l,r,ristneleetsi,0
indéreimanteliste,indériimanteliste,pprsss,pp,sss,reim,in_dé,ant_el_iste,indéreimanteliste,target,r,,1,e,i,indériimanteliste,1
reindébaf,reindébaf,pppr,ppp,,baf,re_in_dé,,reindébaf,target,p,0.0,1,e,u,ruindébaf,0
détronionaire,détronionaire,prss,p,ss,tron,dé,ion_aire,détronionaire,target,s,1.0,0,a,o,détronionoire,0
nirusnuajtnem,nirusnuartnem,pprs,pp,s,nuaj,ni_rus,tnem,nirusnuajtnem,control,r,,3,j,r,nirusnuartnem,1
rebourment,rebourmant,prs,p,s,bour,re,ment,rebourment,target,s,0.0,1,e,a,rebourmant,1
reinsurtronment,reinsurtronment,ppprs,ppp,s,tron,re_in_sur,ment,reinsurtronment,target,s,0.0,1,e,a,reinsurtronmant,0
