first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
ertiob,ertiob,pr,p,,tiob,er,,ertiob,control,p,0.0,0,e,u,urtiob,0
érpertiobnoileéti,érpertiodnoileéti,pprsss,pp,sss,tiob,érp_er,noi_le_éti,érpertiobnoileéti,control,r,,3,b,d,érpertiodnoileéti,1
ernirusruoblaéti,ernirusruobraéti,ppprss,ppp,ss,ruob,er_ni_rus,la_éti,ernirusruoblaéti,control,s,0.0,0,l,r,ernirusruobraéti,1
treceuqitnem,tràceuqitnem,rss,,ss,trec,,euqi_tnem,treceuqitnem,control,r,,2,e,à,tràceuqitnem,1
indécrusionelité,indécruhionelité,pprsss,pp,sss,crus,in_dé,ion_el_ité,indécrusionelité,target,r,,3,s,h,indécruhionelité,1
préreintronalité,préreintronalité,ppprss,ppp,ss,tron,pré_re_in,al_ité,préreintronalité,target,p,2.0,1,n,r,préreirtronalité,0
redéjaunalité,redéjaunalité,pprss,pp,ss,jaun,re_dé,al_ité,redéjaunalité,target,s,0.0,0,a,o,redéjaunolité,0
désinpoulant,désirpoulant,pprs,pp,s,poul,dés_in,ant,désinpoulant,target,p,1.0,1,n,r,désirpoulant,1
poulmentaire,poulmentaire,rss,,ss,poul,,ment_aire,poulmentaire,target,r,,1,o,i,piulmentaire,0
erniédvérpleéti,erniédvérpleéti,ppprss,ppp,ss,vérp,er_ni_éd,le_éti,erniédvérpleéti,control,p,1.0,0,n,l,erliédvérpleéti,0
érpédtiam,érpédtiam,ppr,pp,,tiam,érp_éd,,érpédtiam,control,r,,2,a,i,érpédtiim,0
reindéblôtmentaire,reindéblitmentaire,ppprss,ppp,ss,blôt,re_in_dé,ment_aire,reindéblôtmentaire,target,r,,2,ô,i,reindéblitmentaire,1
reinmélionelité,reinrélionelité,pprsss,pp,sss,mél,re_in,ion_el_ité,reinmélionelité,target,r,,0,m,r,reinrélionelité,1
retroniveité,rotroniveité,prss,p,ss,tron,re,ive_ité,retroniveité,target,p,0.0,1,e,o,rotroniveité,1
prérejurité,prérejurite,pprs,pp,s,jur,pré_re,ité,prérejurité,target,s,0.0,2,é,e,prérejurite,1
erniédruj,enniédruj,pppr,ppp,,ruj,er_ni_éd,,erniédruj,control,p,0.0,1,r,n,enniédruj,1
préreinfil,préreinfil,pppr,ppp,,fil,pré_re_in,,préreinfil,target,r,,2,l,m,préreinfim,0
retartionel,retartiomel,prss,p,ss,tart,re,ion_el,retartionel,target,s,0.0,2,n,m,retartiomel,1
prédésinmièrionel,srédésinmièrionel,ppprss,ppp,ss,mièr,pré_dés_in,ion_el,prédésinmièrionel,target,p,0.0,0,p,s,srédésinmièrionel,1
ernaselba,ernaselba,prs,p,s,nas,er,elba,ernaselba,control,s,0.0,3,a,e,ernaselbe,0
reinsurmélion,reinsurmélion,ppprs,ppp,s,mél,re_in_sur,ion,reinsurmélion,target,p,1.0,0,i,e,reensurmélion,0
reindéjurel,reindérurel,ppprs,ppp,s,jur,re_in_dé,el,reindéjurel,target,r,,0,j,r,reindérurel,1
préreincortionelment,préreincortionelment,ppprsss,ppp,sss,cort,pré_re_in,ion_el_ment,préreincortionelment,target,s,1.0,1,l,r,préreincortionerment,0
rediot,radiot,pr,p,,diot,re,,rediot,target,p,0.0,1,e,a,radiot,1
tartment,tartment,rs,,s,tart,,ment,tartment,target,r,,3,t,p,tarpment,0
trectna,tractna,rs,,s,trec,,tna,trectna,control,r,,2,e,a,tractna,1
désinbourion,désinbourian,pprs,pp,s,bour,dés_in,ion,désinbourion,target,s,0.0,1,o,a,désinbourian,1
dépoulelité,vépoulelité,prss,p,ss,poul,dé,el_ité,dépoulelité,target,p,0.0,0,d,v,vépoulelité,1
préreinbical,préreunbical,ppprs,ppp,s,bic,pré_re_in,al,préreinbical,target,p,2.0,0,i,u,préreunbical,1
recrusablement,recrasablement,prss,p,ss,crus,re,able_ment,recrusablement,target,r,,2,u,a,recrasablement,1
relansablement,renansablement,prss,p,ss,lans,re,able_ment,relansablement,target,r,,0,l,n,renansablement,1
erniédsiat,ernéédsiat,pppr,ppp,,siat,er_ni_éd,,erniédsiat,control,p,1.0,1,i,é,ernéédsiat,1
ertroc,ersroc,pr,p,,troc,er,,ertroc,control,r,,0,t,s,ersroc,1
niretnifabnoieria,nirevnifabnoieria,pprss,pp,ss,fab,ni_retni,noi_eria,niretnifabnoieria,control,p,1.0,2,t,v,nirevnifabnoieria,1
lansalité,lansalité,rss,,ss,lans,,al_ité,lansalité,target,s,1.0,1,t,v,lansalivé,0
rioftnaleetsi,rieftnaleetsi,rsss,,sss,riof,,tna_le_etsi,rioftnaleetsi,control,r,,2,o,e,rieftnaleetsi,1
reimablement,reinablement,rss,,ss,reim,,able_ment,reimablement,target,r,,3,m,n,reinablement,1
ercibleéti,ercibleéti,prss,p,ss,cib,er,le_éti,ercibleéti,control,p,0.0,0,e,i,ircibleéti,0
repouleux,repouleux,prs,p,s,poul,re,eux,repouleux,target,r,,0,p,b,rebouleux,0
érpédmier,érpédmier,ppr,pp,,mier,érp_éd,,érpédmier,control,p,1.0,1,d,h,érpéhmier,0
tôlbrue,tôlhrue,rs,,s,tôlb,,rue,tôlbrue,control,r,,3,b,h,tôlhrue,1
nitrec,nutrec,pr,p,,trec,ni,,nitrec,control,p,0.0,1,i,u,nutrec,1
reindéklemment,reimdéklemment,ppprs,ppp,s,klem,re_in_dé,ment,reindéklemment,target,p,1.0,1,n,m,reimdéklemment,1
tartionelment,tartionelment,rsss,,sss,tart,,ion_el_ment,tartionelment,target,s,1.0,1,l,n,tartionenment,0
redésilionelité,redésilionelité,pprsss,pp,sss,sil,re_dé,ion_el_ité,redésilionelité,target,p,1.0,0,d,c,recésilionelité,0
édmelklaéti,édmenklaéti,prss,p,ss,melk,éd,la_éti,édmelklaéti,control,r,,2,l,n,édmenklaéti,1
fabtnaleetsi,fabtnaleetsi,rsss,,sss,fab,,tna_le_etsi,fabtnaleetsi,control,s,2.0,0,e,i,fabtnaleitsi,0
tiamelbatnem,tiamelbatnem,rss,,ss,tiam,,elba_tnem,tiamelbatnem,control,s,0.0,1,l,n,tiamenbatnem,0
érpsédnikalnoile,érpsédnikalmoile,ppprss,ppp,ss,kal,érp_séd_ni,noi_le,érpsédnikalnoile,control,s,0.0,0,n,m,érpsédnikalmoile,1
redépoulionaire,redépoulionaire,pprss,pp,ss,poul,re_dé,ion_aire,redépoulionaire,target,s,0.0,2,n,r,redépoulioraire,0
erruj,erruj,pr,p,,ruj,er,,erruj,control,p,0.0,1,r,l,elruj,0
erédriof,erédriof,ppr,pp,,riof,er_éd,,erédriof,control,r,,0,r,n,erédniof,0
enreiment,enreiment,prs,p,s,reim,en,ent,enreiment,target,r,,0,r,l,enleiment,0
reinbicionel,reinbicionel,pprss,pp,ss,bic,re_in,ion_el,reinbicionel,target,s,1.0,1,l,n,reinbicionen,0
surenmaitionel,surenmaitionel,pprss,pp,ss,mait,sur_en,ion_el,surenmaitionel,target,s,0.0,2,n,r,surenmaitiorel,0
démaitant,démaitant,prs,p,s,mait,dé,ant,démaitant,target,r,,2,i,a,démaatant,0
reindéjaun,reindéjaun,pppr,ppp,,jaun,re_in_dé,,reindéjaun,target,p,1.0,0,i,u,reundéjaun,0
surenmièr,surenmièr,ppr,pp,,mièr,sur_en,,surenmièr,target,p,1.0,1,n,y,sureymièr,0
