first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
érpernirèimelbatnem,érpernirèimelbatnem,ppprss,ppp,ss,rèim,érp_er_ni,elba_tnem,érpernirèimelbatnem,control,s,1.0,3,m,n,érpernirèimelbatnen,0
érpermocelba,érpermocelba,pprs,pp,s,moc,érp_er,elba,érpermocelba,control,r,,0,m,r,érperrocelba,0
erniléutnoile,erniléubnoile,pprss,pp,ss,léut,er_ni,noi_le,erniléutnoile,control,r,,3,t,b,erniléubnoile,1
reindétartment,reindétartment,ppprs,ppp,s,tart,re_in_dé,ment,reindétartment,target,r,,0,t,c,reindécartment,0
certent,cersent,rs,,s,cert,,ent,certent,target,r,,3,t,s,cersent,1
surbafistique,surqafistique,prss,p,ss,baf,sur,ist_ique,surbafistique,target,r,,0,b,q,surqafistique,1
rujtneleetsi,rujtneluetsi,rsss,,sss,ruj,,tne_le_etsi,rujtneleetsi,control,s,1.0,1,e,u,rujtneluetsi,1
rujnoileemsi,rujnoileemsi,rsss,,sss,ruj,,noi_le_emsi,rujnoileemsi,control,r,,1,u,o,rojnoileemsi,0
tuéleur,tuéleur,rs,,s,tuél,,eur,tuéleur,target,s,0.0,1,u,i,tuéleir,0
netiobtnaleetsi,netiobtnaleepsi,prsss,p,sss,tiob,ne,tna_le_etsi,netiobtnaleetsi,control,s,2.0,1,t,p,netiobtnaleepsi,1
ninuajnoiletnem,ninuajnoiletnem,prsss,p,sss,nuaj,ni,noi_le_tnem,ninuajnoiletnem,control,p,0.0,0,n,y,yinuajnoiletnem,0
ridtnemeria,ridtnemeria,rss,,ss,rid,,tnem_eria,ridtnemeria,control,r,,1,i,e,redtnemeria,0
érperliftsieuqi,érperliftsieuqi,pprss,pp,ss,lif,érp_er,tsi_euqi,érperliftsieuqi,control,r,,2,f,s,érperlistsieuqi,0
érpernimiertne,érpernimiertne,ppprs,ppp,s,mier,érp_er_ni,tne,érpernimiertne,control,r,,3,r,l,érpernimieltne,0
erniédfabtnemeria,erniédfabtnemeroa,ppprss,ppp,ss,fab,er_ni_éd,tnem_eria,erniédfabtnemeria,control,s,1.0,2,i,o,erniédfabtnemeroa,1
érperléutlaéti,érperléuplaéti,pprss,pp,ss,léut,érp_er,la_éti,érperléutlaéti,control,r,,3,t,p,érperléuplaéti,1
reimionelment,reimionelment,rsss,,sss,reim,,ion_el_ment,reimionelment,target,r,,3,m,l,reilionelment,0
